name	source_name	category	kind	verdict	resolvable	metadata	pieces	footprint	top_tier	format	creator	licence	body	origin	origins	sha256	role	fit	gaps
smallstarthome.blueprint	smallstarthome.blueprint	base	module	PLACES_CLEAN	True	curated	1013	22.3x16.0x11.0	mistlands(4)	blueprint	Хельс	none stated	reference	fleet corpus	fleet corpus	d5cb97bf6a3d77dff946adb9446415b3d161c492abb525b9115e82427c539a6c	starter home, 22 x 16 m	Meadows starter alternative	
salty-dick-cottage-final.blueprint	salty-dick-cottage-final.blueprint	base	module	PLACES_CLEAN	True	curated	877	25.7x23.1x16.0	mistlands(20)	blueprint	Salty Dick	none stated	reference	fleet corpus	fleet corpus, offsetkeyz/valheim_mod_sync	6b588d9c46e2245680fdfcb3160cd66f0de7658cd68fd73d51f95fb8516a2730	cottage, 26 x 23 m	Meadows / Black Forest village	
hs_blackforest_tester_duo_black_forest_home.blueprint	hs_blackforest_tester_duo_black_forest_home.blueprint	base	module	PLACES_CLEAN	True	derived	586	20.6x29.8x11.0	meadows(586)	blueprint	Tester	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	134bb6dfb4ef3ef3defbce06b08eded2e1c45738c791a12a49b89cdb98da9513	586 pieces, 52 prefabs, 20.6x29.8x11.0 m, 22 stations, 2 beds, 1 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	54 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_swamp_xxx_blackforest_house.blueprint	hs_swamp_xxx_blackforest_house.blueprint	base	module	PLACES_CLEAN	True	derived	544	15.4x15.6x9.5	meadows(544)	blueprint	Xxx	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	1661eb0fdf8e9fb4996a501a150ce2afa20893e5df26017f01d56da1da0e97ad	544 pieces, 69 prefabs, 15.4x15.6x9.5 m, 21 stations, 1 beds, 0 portals	source biome tag: swamp; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	32 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_plains_admin_veseljko_smokehouse.blueprint	hs_plains_admin_veseljko_smokehouse.blueprint	base	module	PLACES_CLEAN	True	derived	491	20.5x21.1x9.0	swamp(40)	blueprint	Admin Veseljko	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	fbee0134560a2f53489823b0bf2644e8983666aed2c3ef8bc1e2f52296346dc5	491 pieces, 80 prefabs, 20.5x21.1x9.0 m, 22 stations, 6 beds, 0 portals	source biome tag: plains; material tier: swamp. DERIVED from the measurements in `role` -- not a curated judgement	45 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_blackforest_xxx_starthome.blueprint	hs_blackforest_xxx_starthome.blueprint	base	module	PLACES_CLEAN	True	derived	466	22.0x14.2x7.0	meadows(466)	blueprint	Xxx	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	7ff70cfe05701987d6f65461c7504e4163b484b8e1a11db8d3e7b0b7b5130e46	466 pieces, 50 prefabs, 22.0x14.2x7.0 m, 11 stations, 2 beds, 0 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	38 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_house13.blueprint	PuP_house13.blueprint	base	module	PLACES_CLEAN	True	curated	379	10.0x13.5x9.0	ashlands(23)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	e82a91835b4a71b8f8be2702cc3d672579a05dec90ec933c7abee4e4bd9f7d39	log cabin, 10 x 14 m	Black Forest village filler	
PuP_house2.blueprint	PuP_house2.blueprint	base	module	PLACES_CLEAN	True	curated	302	9.7x12.8x7.1	ashlands(8)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	39220d65b622cc8ecc1650a87bf833f0ad60c23bbabe571aff04ca59f9aed93f	gabled cottage, 10 x 13 m	Meadows village filler	
hs_mistlands_sheepshank_longboatlugev2.blueprint	hs_mistlands_sheepshank_longboatlugev2.blueprint	base	module	PLACES_CLEAN	True	derived	293	26.9x25.5x14.8	mistlands(44)	blueprint	Sheepshank	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	450e9dc26700fa415ff8f9418cce29281edd10d07a5f83dc4a8f7b72cf72e540	293 pieces, 31 prefabs, 26.9x25.5x14.8 m, 1 stations, 0 beds, 1 portals	source biome tag: mistlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement	60 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_house5.blueprint	PuP_house5.blueprint	base	module	PLACES_CLEAN	True	curated	291	10.3x12.0x9.2	ashlands(34)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	2134217de138bd5563b54aea2384a422e9e71a8e0c66294e9d65c66fecb51f22	cottage with outbuilding, 10 x 12 m	Meadows village filler	
