file	category	kind	verdict	format	pieces	distinct_prefabs	footprint	top_tier	top_tier_pieces	missing_pct	stations	portals	beds	snap_points	ih_discarded_rows	creator	licence	role	fit	note
14464-Valheimian.blueprint	base	exploit	EXPLOIT/PLACES_WITH_GAPS	blueprint	2329	100	37.0x37.5x10152.4	ashlands	18	0.09	38	7	2	0	1	Торкель	none stated	dvergr house shell wrapped round 491 loot objects	nowhere -- 488 mountain-cave chests	byte-identical to gnome_house; 1 discarded #Terrain row
15643-Valheimian.blueprint	base	exploit	EXPLOIT/PLACES_WITH_GAPS	blueprint	5692	185	60.5x60.3x10102.5	ashlands	830	0.54	57	13	5	7	2	Азура Тираэцу	none stated	keep wrapped round 361 loot objects	nowhere -- chest payload	also names 4 mod-only pieces incl. turrets; 2 discarded rows
BjOrN_blueprint001.blueprint	base	setpiece	PLACES_WITH_GAPS	blueprint	1908	61	65.5x66.0x16.8	blackforest	990	0.05	21	1	0	0	0	BjOrN	none stated	palisaded longhouse compound	Black Forest / pre-bonemass -- already selected	978 log-wall pieces: the palisade is most of it
Black_Viking_forteca_starting_base.blueprint	base	setpiece	PLACES_WITH_GAPS	blueprint	2610	41	45.2x45.2x13.2	ashlands	2	0.8	6	0	0	0	0	Enslaver	none stated	walled starter compound	Meadows -- reference only	0.8% missing, incl. mod-only emberwood + Hayze gates
Portal11.vbuild	portal	module	PLACES_CLEAN	vbuild	111	9	3.0x4.0x3.4	blackforest	35	0.0	0	0	0	0	0		none stated	timber gateway arch, 3 x 3 m, no portal piece included	any road junction; drop a portal_wood inside	darkwood beams + stone floor; stamp repeatedly
Portal12.vbuild	portal	module	PLACES_CLEAN	vbuild	66	7	2.0x4.0x5.0	blackforest	48	0.0	0	0	0	0	0		none stated	stone gateway arch, 2 x 5 m, itemstand plinth	roadside shrine; Black Forest stone tier	44 stone_arch; smallest of the five at 66 pieces
Portal13.vbuild	portal	module	PLACES_CLEAN	vbuild	133	11	3.9x6.5x7.2	blackforest	26	0.0	0	0	0	0	0		none stated	timber-and-stone gate house, 4 x 7 m	portal shack pattern -- already selected pre-kall	133 pieces; roofed, so the portal stays dry
Portal14.vbuild	portal	module	PLACES_CLEAN	vbuild	161	10	3.6x5.3x5.1	blackforest	54	0.0	0	0	0	0	0		none stated	stone arch gateway with stair, 4 x 5 m	hillside road, Black Forest+	161 pieces; includes a Rock_4 for the base
Portal15.vbuild	portal	module	PLACES_CLEAN	vbuild	107	9	4.0x3.6x6.6	blackforest	72	0.0	0	0	0	0	0		none stated	double stone arch shrine, 4 x 7 m	runestone-style roadside shrine	107 pieces; heaviest stone ratio of the five
PuP_Bone-dragon.blueprint	flavour	setpiece	PLACES_CLEAN	blueprint	926	27	107.6x109.2x113.8	mistlands	19	0.0	0	0	0	0	0	PuP	none stated	skeletal dragon landmark built from rock and rib fractures	Mistlands or Ashlands skyline landmark	108 x 109 x 114 m; 926 statics, no building pieces at all
PuP_Capitol.blueprint	base	setpiece	PLACES_CLEAN	blueprint	2304	34	33.2x47.7x24.3	ashlands	110	0.0	0	0	0	0	0	PuP	none stated	large timber capitol hall	Plains / pre-yagluth settlement centre	2304 pieces
PuP_Minicastle.blueprint	base	setpiece	PLACES_CLEAN	blueprint	3810	79	35.2x41.1x28.0	ashlands	1925	0.0	12	0	0	0	0	PuP	none stated	compact grausten castle	Ashlands / pre-fader	1408 blank sign_notext used as decor panels -- ZDO hazard
PuP_Minicastle.blueprint	base	setpiece	PLACES_CLEAN	blueprint	3334	76	35.2x41.1x23.9	ashlands	1925	0.0	12	0	0	0	0	PuP	none stated	compact grausten castle	Ashlands / pre-fader	1408 blank sign_notext used as decor panels -- ZDO hazard
PuP_Owl-tree_house.blueprint	base	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte truncated download	-	re-download needed
PuP_black_house_full.blueprint	base	setpiece	PLACES_CLEAN	blueprint	6262	119	40.6x72.5x78.2	ashlands	718	0.0	55	0	0	0	0	PuP	none stated	large black-marble manor	Mistlands / pre-queen -- already selected	6262 pieces, the largest clean base in the corpus
PuP_black_house_light.blueprint	base	setpiece	PLACES_CLEAN	blueprint	5398	97	28.4x31.0x36.8	ashlands	561	0.0	40	0	0	0	0	PuP	none stated	black-marble manor, reduced	Mistlands / pre-queen alternative	5398 pieces
PuP_capitoliy.blueprint	base	setpiece	PLACES_CLEAN	blueprint	5115	59	22.5x23.1x18.9	ashlands	1659	0.0	0	0	0	0	0	PuP	none stated	grausten-and-crystal capitol	Ashlands / Deep North showpiece	2149 wood_ledge pieces -- heavy ledge lattice
PuP_forge1.blueprint	production	module	PLACES_CLEAN	blueprint	343	32	18.5x13.4x15.0	ashlands	2	0.0	10	0	0	0	0	PuP	none stated	roofed forge and workshop shed, 19 x 13 m, 10 stations	workshop annex bolted onto any existing base	343 pieces; the cheapest station upgrade in the corpus
PuP_house1.blueprint	base	module	PLACES_CLEAN	blueprint	238	26	9.5x7.7x8.3	ashlands	40	0.0	0	0	0	0	0	PuP	none stated	two-storey cottage, 10 x 8 m	Meadows / Black Forest village filler	238 pieces; 40 ashwood trim pieces are substitutable
PuP_house10.blueprint	base	module	PLACES_CLEAN	blueprint	225	26	19.1x15.5x9.3	mistlands	8	0.0	1	0	0	0	0	PuP	none stated	wide cottage with porch, 19 x 16 m	Meadows village filler	225 pieces
PuP_house11.blueprint	base	module	PLACES_CLEAN	blueprint	266	30	13.3x9.7x11.0	ashlands	8	0.0	2	0	0	0	0	PuP	none stated	log cottage, 13 x 10 m	Black Forest village filler	266 pieces; 2 stations
PuP_house12.blueprint	base	module	PLACES_CLEAN	blueprint	216	25	11.2x8.8x5.7	ashlands	24	0.0	0	0	0	0	0	PuP	none stated	small cottage, 11 x 9 m	Meadows village filler	216 pieces, only 5.7 m tall -- fits under trees
PuP_house13.blueprint	base	module	PLACES_CLEAN	blueprint	379	31	10.0x13.5x9.0	ashlands	23	0.0	0	0	0	0	0	PuP	none stated	log cabin, 10 x 14 m	Black Forest village filler	379 pieces; 17 blank signs used as shutters
PuP_house2.blueprint	base	module	PLACES_CLEAN	blueprint	302	23	9.7x12.8x7.1	ashlands	8	0.0	0	0	0	0	0	PuP	none stated	gabled cottage, 10 x 13 m	Meadows village filler	302 pieces
PuP_house3.blueprint	base	module	PLACES_CLEAN	blueprint	201	23	13.3x16.2x6.3	ashlands	10	0.0	0	0	0	0	0	PuP	none stated	long low cottage, 13 x 16 m	Meadows village filler	201 pieces
PuP_house4.blueprint	base	module	PLACES_CLEAN	blueprint	178	24	9.6x10.0x7.6	mistlands	29	0.0	1	0	0	0	0	PuP	none stated	cottage, 10 x 10 m	Meadows / Black Forest village filler	178 pieces; 1 station. An earlier pass called this a workshop annex on a station count that was wrongly counting dvergr poles
PuP_house5.blueprint	base	module	PLACES_CLEAN	blueprint	291	33	10.3x12.0x9.2	ashlands	34	0.0	3	0	0	0	0	PuP	none stated	cottage with outbuilding, 10 x 12 m	Meadows village filler	291 pieces; 3 stations
PuP_house6.blueprint	base	module	PLACES_CLEAN	blueprint	230	28	12.1x9.2x8.1	ashlands	64	0.0	0	0	0	0	0	PuP	none stated	cottage with balcony, 12 x 9 m	Meadows village filler	230 pieces
PuP_house7.blueprint	base	module	PLACES_CLEAN	blueprint	152	20	7.8x10.4x8.7	ashlands	4	0.0	2	0	0	0	0	PuP	none stated	tiny cottage, 8 x 10 m	hunting camp / rest stop shell	152 pieces -- second-smallest habitable stamp
PuP_house8.blueprint	base	module	PLACES_CLEAN	blueprint	157	23	9.7x8.6x5.3	ashlands	8	0.0	1	0	0	0	0	PuP	none stated	log hut, 10 x 9 m	Black Forest hunting camp	157 pieces, 5.3 m tall
PuP_house9.blueprint	base	module	PLACES_CLEAN	blueprint	167	20	9.9x9.9x6.8	ashlands	2	0.0	0	0	0	0	0	PuP	none stated	hut, 10 x 10 m	mine-head shelter	167 pieces; 0 stations -- shelter only
PuP_mag-tower.blueprint	flavour	setpiece	PLACES_CLEAN	blueprint	2461	25	24.4x20.9x35.5	ashlands	12	0.0	0	0	0	0	0	PuP	none stated	mage tower, 24 x 21 x 36 m	Mistlands landmark	2461 pieces
PuP_marketmarket.blueprint	flavour	module	PLACES_WITH_GAPS	blueprint	257	32	14.5x14.9x5.8	ashlands	1	0.39	0	0	1	0	0	PuP	none stated	market stall row, 15 x 15 m, 39 banners	trader settlement / festival ground	257 pieces; 1 missing prefab `market` (0.39%)
PuP_megaCastle.blueprint	base	setpiece	PLACES_CLEAN	blueprint	25207	163	208.8x105.3x133.4	ashlands	20520	0.0	46	10	1	0	0	PuP	none stated	castle city, 209 x 105 x 133 m	nowhere sensible -- reference only	25207 pieces; 28 core stands hand out free progression
PuP_rampart1.blueprint	defence	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- would have been the corpus's only pure rampart	-	re-download is the single highest-value recovery
PuP_stable.blueprint	production	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- would have been the corpus's only stable	-	re-download wanted; nothing else covers pens
PuP_tavern.blueprint	flavour	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte truncated download	-	re-download needed
SerpentShip.blueprint	flavour	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- serpent ship sculpture	-	re-download needed
SerpentShip_Empty.blueprint	flavour	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- serpent ship sculpture, hollow	-	re-download needed
Ultimate_OutPost.blueprint	outpost	setpiece	PLACES_CLEAN	blueprint	1820	100	52.7x49.0x13.8	mistlands	36	0.0	54	2	2	0	0	Randominis	none stated	walled outpost, 53 x 49 m, 54 stations, 450 wall pieces	Deep North sandbox -- already selected	1820 pieces; the corpus's best all-in-one forward base
